"PPN","physischePPN"
"PPN869956949","PPN334660939"
"PPN756488214","PPN756485460"
"PPN3346158330","PPN3346158322"
"PPN741661160","PPN307295222"
"PPN797096140","PPN133474232"
"PPN1001062205","PPN332813355"
"PPN334367270X","PPN3343672696"
"PPN787818348","PPN786945052"
"PPN3343671096","PPN3342245727"
"PPN1666860077","PPN1031113290"
"PPN1009653911","PPN1009603981"
"PPN3303600104","PPN3303505764"
"PPN1047061406","PPN1046872400"
"PPN72080471X","PPN720741009"
"PPN670461520","PPN670460079"
"PPN337139073X","PPN337138957X"
"PPN79749376X","PPN387826440"
"PPN1752470958","PPN1752469119"
"PPN3303598584","PPN3302886802"
"PPN767437152","PPN767223497"
"PPN846814137","PPN065474856"
"PPN796931909","PPN796880344"
"PPN770280080","PPN550723358"
"PPN3303600740","PPN3303505098"
"PPN1733549269","PPN1733549110"
"PPN787818917","PPN61591831X"
"PPN1749144573","PPN1749089718"
"PPN622379828","PPNx"
"PPN3371339084","PPN3371332519"
"PPN640994628","PPN520218507"
"PPN767443225","PPN767223829"
"PPN651686342","PPN651686342a"
"PPN843645253","PPN843635495"
"PPN742572021","PPN277189772"
"PPN1748016962","PPN1748016857"
"PPN1736459627","PPN1736455672"
"PPN886059208","PPN885674561"
"PPN797511296","PPN226317277"
"PPN651726352","PPN64775276X"
"PPN637333713","PPN500857482"
"PPN1008783439","PPN419064753"
"PPN890470499","PPN402311000"
"PPN1689703776","PPN1689702451"
"PPN886058392","PPN885669754"
"PPN3346158802","PPN3346158691"
"PPN838201733","PPN366695983"
"PPN789849283","PPN141534567"
"PPN3308098520","PPN3308095300"
"PPN827008600","PPN747995753"
"PPN730259196","PPN730245888"
"PPN1737484250","PPN1737475650"
"PPN3343781665","PPN3343781584"
"PPN1733292209","PPN1395320888"
"PPN749886765","PPN27954653X"
"PPN634821415","PPN634821415a"
"PPN800002970","PPN79998373X"
"PPN3346229912","PPN334378639X"
"PPN797016708","PPN796377014"
"PPN1737646137","PPN1737475197"
"PPN766142612","PPN328104353"
"PPN717412687","PPNx"
"PPN824090497","PPN824010469"
"PPN742509745","PPN74170546X"
"PPN1663391599","PPN1663391157"
"PPN717974987","PPN71795580X"
"PPN3308101130","PPN3308099683"
"PPN1011139391","PPN1011060795"
"PPN3348763274","PPN3348762774"
"PPN767885570","PPN767488342"
"PPN3346230376","PPN3343788066"
"PPN833838512","PPN83353694X"
"PPN1689712384","PPN1689711108"
"PPN81792714X","PPN578154544"
"PPN879265566","PPN531273814"
"PPN730259811","PPN730252906"
"PPN820819700","PPN820816353"
"PPN722298684","PPN722013817"
"PPN1737981718","PPN1737977974"
"PPN334623293X","PPN3346232921"
"PPN817494677","PPN353797286"
"PPN3308096536","PPN3308093316"
"PPN634186388","PPN634186388a"
"PPN770200885","PPN481086315"
"PPN826095127","PPN826094228"
"PPN1750136716","PPN1750036282"
"PPN1012126803","PPN1011883406"
"PPN1751335674","PPN1750942461"
"PPN173384242X","PPN038339234"
"PPN635912600","PPN56512322X"
"PPN3346232263","PPN3343792659"
"PPN746289545","PPN362008418"
"PPN330809553X","PPN330809231X"
"PPN3303599718","PPN3303506175"
"PPN684669056","PPN684562030"
"PPN3303600279","PPN3303505586"
"PPN1011807009","PPN101164813X"
"PPN3303599122","PPN3303506779"
"PPN3348762871","PPN3348762375"
"PPN856972746","PPN74765378X"
"PPN864014732","PPN416786774"
"PPN896022226","PPN895702142"
"PPN3348760550","PPN3341287264"
"PPN833482025","PPN748172262"
"PPN772199469","PPN151070229"
"PPN824447743","PPN824446674"
"PPN81262176X","PPN143256254"
"PPN1016101422","PPN336405065"
"PPN1738006387","PPN126279616"
"PPN103530533X","PPN300618123"
"PPN635687046","PPN635687046a"
"PPN3308101734","PPN3304245499"
"PPN82651703X","PPN312636792"
