PPN; Jahr; Titel; Publisher
PPN1041280610; 1657; Nuḫabat al-fikar fī iṣṭilāḥ ahl al-aṯar; none
PPN104128070X; 1465; Kitāb al-Ḫulāṣa an-nāfiʿa bi-'l-adillat al-qāṭiʿa; none
PPN1041280815; 1462; Kitāb al-Anwār wa-ǧināʾ al-Aṯmār al-mufattiḥ li-kamāʾim al-muntaziʿ min al-ġaiṯ al-midrār; none
PPN1041280831; 1494; Kitāb al-Baḥr az-Zaḫḫār; none
PPN1041280858; 1600; Arabische Sammelhandschrift; none
PPN1041280904; 1543; Qaṣīda badīʿīya fī 'l-ğihād wa-'l-mawāʿiẓ; none
PPN1041280912; 1225; Šarḥ as-sabʿ aṭ-ṭawāl al-ğāhilīyāt; none
PPN1041280920; 1300; [Textsammlung in Reim und Prosa]; none
PPN1041280939; 1439; al-Baḥr az-zaḫḫār al-ğāmiʿ li-maḏāhib ʿulamāʾ al-amṣār; none
PPN1041280947; 1600; Arabische Sammelhandschrift; none
PPN1041281080; 1300; Kitāb aḍ-Ḍuʿafaʾ; none
PPN1041281099; 1559; Kitāb Iršād al-ġāwī fī masālik al-Ḥāwī; none
PPN1041281129; 1348; Kitāb al-Ḫulāṣa an-nāfiʿa bi-l-adilla al-qāṭiʿa; none
PPN1041281161; 1500; Arabische Sammelhandschrift; none
PPN1041281226; 1646; Kitāb al-Bustān al-ğāmiʿ li-l-fawākih al-ḥassān; none
PPN1041281242; 1661; Taḫmīs maqṣūrat Ibn-Duraid; none
PPN1041281269; 1500; Arabische Sammelhandschrift; none
PPN104128134X; 1600; Arabische Sammelhandschrift; none
PPN1041297718; 1300; Ketuvim; none
PPN1041319185; 1623; Kitāb Miftāḥ al-fāʾiḍ fī ʿilm al-farāʾiḍ; none
PPN1041319649; 1591; aš-Šarḥ al-ğumāʿ li-Fiqh al-ʿutra al-aṭhār; none
PPN1041337604; 1899; 欽定大清會典圖 凡例, 職名, 目録, 卷1 至 卷30; none
PPN1041377967; 1899; 欽定大清會典圖 卷31 至 卷56; none
PPN1041379854; 1899; 欽定大清會典圖 卷57 至 卷68, 卷70, 71, 72, 74, 卷77 至 卷98; none
PPN1041382359; 1899; 欽定大清會典圖 卷99 至 卷123; none
PPN1041387938; 1899; 欽定大清會典圖 卷124 至 卷138, 卷148 至 卷152, 卷157 至 卷160; none
PPN1041395795; 1899; 欽定大清會典圖 卷161 至 卷183, 卷189 至 卷208; none
PPN1041409273; 1899; 欽定大清會典圖 卷209 至 卷243; none
PPN1041410158; 1681; Vetālapañcaviṃśati; none
PPN1041411588; 1861; Utpātalaksaṇa; none
PPN104141286X; 1899; 欽定大清會典圖 卷244 至 卷270; none
PPN1042002738; 1300; Arabische Sammelhandschrift; none
PPN1042005354; 1600; Arabische Sammelhandschrift; none
PPN1042006415; 1785; Kitāb at-Tadbīrāt al-ilahīya fī iṣlāḥ al-mamlaka al-insānīya; none
PPN1042006717; 1494; Arǧūza fī 'l-fiqh; none
PPN1042007136; 1647; Kitāb Mirqāt al-anẓār al-muntazaʿ min ġāyāt al-afkār al-kāšif li-maʿānī dībāǧat al-baḥr az-zaḫḫār al-manṭawīya ʿalā tauḥīd ḏāt al-wāḥid al-qahhār; none
PPN1042007624; 1494; Kitāb ʿIqd al-aḥādīṯ fī ʿilm al-mawārīṯ; none
PPN104200787X; 1300; Arabische Sammelhandschrift; none
PPN1042008981; 1498; Kitāb al-wasīṭ; none
PPN1042009309; 1749; Ṭīb as-samar fī auqāt as-saḥar; none
PPN1042009708; 1798; Ṭīb as-samar fī auqāt as-saḥar; none
PPN1042009953; 1600; Arabische Sammelhandschrift; none
PPN104201101X; 1665; Minhāǧ al-ʿĀrif wa-l-muntaqā wa-miʿrāǧ as-sālik al-murtaqā; none
PPN104202779X; 1750; Dīwān; none
PPN1042028109; 1688; [Kitāb al-Aġānī]; none
PPN1042028370; 1737; Kitāb at-Tīǧān li-Mulūk az-Zamān; none
PPN1042028613; 1543; Buġyat al-fiṭan min ʿilm al-badan; none
PPN1042028753; 1783; Maǧmūʿ min kull fann yabḥaṯ annahu ǧawāhir al-kalām min šiʿr wa-miṯl wa-qawāʾid min kull fāḍil wa-āḫir al-kitāb asmāʾwa-adʿiyāt min kull šaiʾ; none
PPN1042354618; 1700; Sammlung von Piyuṭim nach nordafrikanischem Ritus; none
PPN1042361436; 1800; Sammlung vorwiegend liturgischer Werke; none
PPN104236379X; 1600; Volksmedizinisches Werk; none
PPN1042493820; 1600; Kommentar zum Gebetbuch für Yom Kippur : Fragment; none
PPN1042512213; 1400; Medizinische Sammelhandschrift; none
PPN1043351809; 16XX; Quduqdu sajiv caq uv naradu yagae guilgav sudur; none
PPN1043354530; 1600; Quduqdu sajiv caq uv naradu yagae guilgav sudur; none
PPN1043354646; 1700; [Arabische Gedichtsammlung]; none
PPN1043354735; 1600; Quduqdu sajiv caq uv naradu yagae guilgav sudur; none
PPN1043355812; 1706; [Anthologie arabischer Poesie und Prosa]; none
PPN1043358048; 1556; ʿUyūn al-ḥaqāʾiq wa-īḍāḥ aṭ-ṭarāʾiq; none
PPN1043502807; 1642; Duʿā-nāme; none
PPN1045340405; 1658; Fatḥ al-mutaʿāl fī madḥ an-niʿāl; none
PPN104584487X; 1700; Sefer mevo sheʿarim; none
PPN1045850780; 1484; Kitāb šarḥ al-Baḥr az-zaḫḫār; none
PPN1045850969; 1784; Kitāb aṣ-Ṣiḥāḥ wa-t-Takmila; none
PPN1045851116; 1800; Arabische Sammelhandschrift; none
PPN1045851469; 1433; Kitāb Miṣbāḥ aš-šarīʿa al-Muḥammadīya al-muḫtār min ʿulūm al-aʾimma az-Zaidīya; none
PPN1045851787; 1700; Ǧadwal maʿrifa taḥwīl sāl wa-tawārīḫ mašhūra; none
PPN1045852503; 1670; al-Munya wa-l-amal šarḥ al-Milal wa-n-niḥal; none
PPN1045852597; 1494; al-Ǧuzʾ al-auwal min Kitāb Šarḥ al-Aḫbār fī faḍāʾil an-nabī al-muḫtār wa-āl al-muṣṭafīn al-aḫyār min al-aʾimma al-aṭhār; none
PPN1045852805; 1462; Arabische Sammelhandschrift; none
PPN104586823X; 1700; Arabische Sammelhandschrift; none
PPN1045875295; 1668; Kitāb Takmīl Šarḥ al-Azhār al-muntaziʿ min al-Ġaiṯ al-midrār; none
PPN1045875457; 1662; Kitāb Takmīl Šarḥ al-Azhār al-muntaziʿ min al-Ġaiṯ al-midrār al-mufattaḥ ilaḫ; none
PPN1045882038; 1737; al-Maqāmāt; none
PPN1045882526; 1700; Arabische Sammelhandschrift; none
PPN1045883190; 1700; Arabische Sammelhandschrift; none
PPN1045886998; 1543; Arabische Sammelhandschrift; none
PPN1045887471; 1626; Arabische Sammelhandschrift; none
PPN1045888060; 1688; Kitāb al-Kāfil bi-nail as-suʾāl fī ʿilm al-uṣūl; none
PPN1045889253; 1450; Muḫtaṣar al-Ġaiṯ al-midrār; none
PPN1045889725; 1300; Šams al-ʿulūm; none
PPN1045890251; 1600; Arabische Sammelhandschrift; none
PPN104602518X; 1600; Arabische Sammelhandschrift; none
PPN1046025759; 1494; aṯ-Ṯamarāt al-yāniʿa wa-l-aḥkām al-wāḍiḥa al-qāṭiʿa al-muqtaṭafa min āyāt at-tanzīl; none
PPN1046026259; 1717; Dīwān; none
PPN1046027891; 1655; Kitāb al-Barāhīn az-zāhira; none
PPN1046028456; 1674; Arabische Sammelhandschrift; none
PPN1046029312; 1500; Kitāb Šarḥ Nağm-ad-Dīn ar-Raḍī ʿalā 'l-Kāfīya; none
PPN1046037617; 1678; Muḫtaṣar min šiʿr Šarīf ar-Riḍā; none
PPN104603829X; 1472; Kitāb Mirqāt al-anẓār al-muntazaʿ min ġāyāt al-afkār al-kāšif li-maʿānī dībāǧat al-baḥr az-zaḫḫār al-manṭawīya ʿalā tauḥīd ḏāt al-wāḥid al-qahhār; none
PPN1046039245; 1591; Takmīl al-Azhār; none
PPN1046039830; 1591; Kitāb Minhāǧ al-bayān fīmā yastaʿmiluhu al-insān; none
PPN1046044656; 1641; Kitāb al-Anwār wa-jināʾ al-Athmār al-mufattiḥ li-kamāʾim al-Azhār al-muntaziʿ min al-Ghayth al-midrār; none
PPN1046059262; 1695; Hebräische Sammelhandschrift; none
PPN1046062255; 1423; [Zaiditisches Rechtsbuch]; none
PPN1046066455; 1300; Perush ha-Torah; none
PPN1046131710; 1622; Kitāb aš-Šumūs wa-l-aqmār aṭ-ṭāliʿa min ufuq fatḥ al-ʿazīz al-ġaffār al-mufattiḥ li-maḫluqāt aṯmār al-azhār al-muntaziʿ min al-wābil al-miġrār fī fiqh al-aʾimma al-aṭhār; none
PPN1046132628; 1772; Kitāb al-Futūḥāt al-ilāhīya taḫrīǧ mā fi 'ṯ-tamarāt min al-aḥādīṯ an-nabawīya; none
PPN1046133047; 1773; Kitāb al-Futūḥāt al-ilahīya taḫrīğ mā fī aṯ-ṯamarāt min al-aḥādīṯ an-nabawīya; none
PPN1046133861; 1876; Arabische Sammelhandschrift; none
PPN1046134728; 1203; Nahǧ al-balāġa; none
PPN1046135716; 1397; Kitāb al-Iḫtiyārāt al-Muʾaiyadīya fī 'l-fiqh; none
PPN104620890X; 1653; Kitāb al-Ġaiṯ al-midrār al-mufattiḥ li-kamāʾim al-Azhār; none
