PPN; Jahr; Titel; Publisher
PPN85631241X; 1387; al-Fawāʾid fī šarḥ Ḥikmat ʿain al-qawāʿid; none
PPN856319929; 1609; Kitāb šarḥ Īsāġūǧī; none
PPN856407593; 1400; Medizinische Sammelhandschrift; none
PPN856429260; 1435; Sefer ha-Mitsṿot / Shemuʾel ben Mosheh; none
PPN856484172; 1400; Sammelhandschrift; none
PPN856487678; 1300; Sammelhandschrift kabbalistischer Werke; none
PPN856603112; 1400; Jemenitische Sammelhandschrift; none
PPN857028235; 1777; Grammatica Linguae Sacro-Hebraeae / Ex Praelectionibus A. V. P. Candidiani Vien.; none
PPN857032828; 1700; Megilat Ester; none
PPN857356569; 1845; Katholische Theologie; none
PPN857357808; 1456; Kitāb Bahǧat al-asrār wa-maʿdan al-anwār fī baʿḍ manāqib Šaiḫ al-Islām wa-l-Muslimīn Quṭb al-ʿĀrifīn wa-Lisān al-Murīdīn Saiyidī ʿAbd-al-Qādir akl-Ǧīlī [al-Kīlānī]; none
PPN857360957; 1644; Kitāb Bahǧat al-asrār wa-maʿdan al-anwār fī baʿḍ manāqib Šaiḫ al-Islām wa-l-Muslimīn Quṭb al-ʿĀrifīn wa-Lisān al-Murīdīn Saiyidī ʿAbd-al-Qādir akl-Ǧīlī [al-Kīlānī]; none
PPN85745188X; 1650; Liber Initiationis Electorum Dei ad Serenissimum = Sefer ḥinukh beḥire Yah / [Johannes Calvin. Übers. v. Immanuel Tremellius]; none
PPN85746759X; 1480; Midrash ha-gadol / [David ben Amran Adani]; none
PPN857467700; 1480; Be-reshit; none
PPN857746979; 1480; Shemot; none
PPN85775047X; 1480; Ṿa-yiḳra; none
PPN857752227; 1480; Ba-midbar; none
PPN857752952; 1480; Devarim; none
PPN85775534X; 1700; Megilat Ester; none
PPN857820974; 1200; Torah : mit Targum Onkelos und Rashi-Kommentaren; none
PPN857823353; 1400; Jemenitische Tora-Handschrift : Fragment; none
PPN857829572; 1300; Sefer ha-terumah : Fragment; none
PPN858165996; 1881; Gedichte; none
PPN85816759X; 1881; Gedichte; none
PPN858167816; 1881; Gedichte; none
PPN858613123; 1800; Tschagataiische Sammelhandschrift; none
PPN858613697; 1800; [Die Geschichte des Būbā Rūšan Baba]; none
PPN858614065; 1800; [Die Geschichte von Muḥammad Ḥanafīya]; none
PPN858614596; 1836; Fawāʾid-i isḥāqīya; none
PPN858879107; 1585; Medizinische Sammelhandschrift; none
PPN859281272; 1200; Testamentum vetus; none
PPN85947948X; 1705; Sammlung von Heiligenlegenden; none
PPN859502015; 1300; Kommentar zum "Sefer Halakhot" des Alfasi / Nisim ben Reʾuven Gerondi; none
PPN859508129; 1651; Ḫair al-bayān; none
PPN859509559; 1234; Maǧmaʿ al-amṯāl; none
PPN859529398; 1598; Ketuvim : hebräisch-arabische Interlinearübersetzung; none
PPN859538583; 1300; Laqṭ al-manāfiʿ; none
PPN859538826; 1688; Kitāb Taflīs arbāb an-nawāmīs; none
PPN859539040; 1824; Masālik at-tabyān fī aḫbār al-umarāʾ wa-tarāǧim al-aʿyān; none
PPN859539342; 1724; Fī ǧawāz iqtidāʾ al-Ḥanīfa bi-'š-Šāfiʽīya; none
PPN859540170; 1206; Bahǧat aṭ-ṭāʾifa bi-Allāh al-ʿārifa; none
PPN859540375; 1744; Dīwān ġazal; none
PPN859618048; 1485; Samaritanischer Pentateuch : Fragment; none
PPN859630935; 1700; Tora-Rolle; none
PPN85963938X; 1796; Hebräische Sammelhandschrift; none
PPN859680169; 1300; Hebräische Sammelhandschrift; none
PPN859681114; 1494; an-Niẓām al-muḏhab fī mufradāt al-maḏhab; none
PPN859681327; 1591; Irādāt ʽalā kitāb al-ḥawī li-ʽAbd-al-Ġaffār al-Qazwīnī; none
PPN859681793; 1737; ar-Riyāḍ al-anīqa fī šarḥ asmāʾ ḫair al-ḫalīfa; none
PPN85968217X; 1609; aš-Šamʿa al-muḍīya fī ʿilm al-ʿarabīya; none
PPN859682684; 1737; Mā rawāhu al-wāʽūn fī 'ṭ-ṭāʽn wa-ṭ-ṭāʽūn; none
PPN859683192; 1785; Dīwān Maʽtūq Ibn-Šihāb al-Musawī wa-ǧamʽ ibnuhū; none
PPN859684350; 1400; Hebräische Sammelhandschrift : Poesie; none
PPN859684814; 1663; Silsilat aḏ-ḏahab; none
PPN859686140; 1514; al-Muqniʽ wa-l-maurid al-ʽaḏb li-man yašrab wa-yakraʽ; none
PPN859686736; 1556; Šarḥ ar-Raḍī ʽalā-'l-Kāfīya; none
PPN859687066; 1591; al-Wāfīya fī šarḥ al-Kāfīya; none
PPN859687813; 1100; Qānūn al-adab; none
PPN859688208; 1489; Mirṣād al-ʿibād min al-mabdaʾ ilā l-maʿād; none
PPN859688968; 1688; Kitāb šarḥ Raḍī ʽalā 'l-Kāfīya an-naḥwīya; none
PPN859689417; 1340; ʽAǧāʾib al-maḫlūqāt; none
PPN859689697; 1100; Tuḥfat al-mulūk fī 'l-bāh; none
PPN859690016; 1695; Tauṣīf wa-tārīḫ-i ʿimārat; none
PPN859690512; 1600; Gulšan-i dīdār; none
PPN859691322; 1845; Niẓām at-tawārīḫ; none
PPN85969951X; 1300; Hebräische Sammelhandschrift : Philosophie; none
PPN859700879; 1400; Hebräische Sammelhandschrift; none
PPN859711951; 1855; Malḥamat al-ḥaǧar; none
PPN85971277X; 1829; Taḏkirat as-salāṭīn; none
PPN859713326; 1701; Laṭāʾif al-kalām fī aḥkām al-aʿwām; none
PPN859713636; 1852; Haft qalʿa; none
PPN859713970; 1400; Hebräische Sammelhandschrift : Philosophie; none
PPN859714799; 1505; Mirʾāt al-ǧamāl; none
PPN859714888; 1927; Ǧang-i dah māha-i auwal-i Ālmān wa-ʿumūmī-i dunyā; none
PPN859726002; 1485; Tāǧ al-maʾāṯir; none
PPN859726266; 1665; Wasaṭ al-ḥayāt; none
PPN859726541; 1845; Tārīḫ-i Zandīya; none
PPN859727106; 1680; Kašf al-luġāt wa-l-iṣṭilāḥāt; none
PPN859727513; 1656; Ḫair al-bayān; none
PPN859727904; 1589; Nigāristān; none
PPN859728447; 1724; Maṣābīḥ al-qulūb; none
PPN859728978; 1660; Šarḥ al-Kāfīya li-l-Ḫabīṣī; none
PPN859752755; 1800; Qābūs-nāma; none
PPN859822648; 1680; Vdul-ba phran-tshegs kyi gzhi; none
PPN859836576; 1680; Vdul-ba phran-tshegs kyi gzhi; none
PPN859837343; 1668; Vdul-ba phran-tshegs kyi gzhi; none
PPN859882446; 1799; Arabische Sammelhandschrift; none
PPN859882624; 1800; Sammlung drusischer und sufischer Texte; none
PPN860330753; 1600; Megilat Ester; none
PPN860335046; 1700; Megilat Ekhah; none
PPN860339351; 1300; Hebräische Sammelhandschrift; none
PPN860345556; 1300; Torat ha-bayit ha-ḳatser / Solomon ben Abraham Adret; none
PPN860346595; 1400; Hebräische Sammelhandschrift; none
PPN860347176; 1600; Hebräische Sammelhandschrift; none
PPN860380939; 1700; Adversarien : Notizen von Bruns zu verschiedenen Handschriften; none
PPN860385388; 1400; Hebräische Sammelhandschrift; none
PPN860398986; 1700; Hebräische Sammelhandschrift : Gelegenheitsgedichte; none
PPN860401812; 1812; Hebräische Sammelhandschrift zum Purim-Fest; none
PPN860403548; 1800; Hebräische Sammelhandschrift; none
PPN860406067; 1300; Hebräische Sammelhandschrift; none
PPN860407284; 1500; Hebräische Sammelhandschrift : Sammlung kabbalistischer Schriften; none
PPN86048808X; 1890; Samaritanische Sammelhandschrift; none
PPN86049067X; 1800; El Conciliador : 4. Teil / [Menasheh ben Yiśraʾel. Übers. v. Mordekhai Luzzatto]; none
PPN860505057; 1478; Kommentar zu den Propheten; none
PPN860507319; 1500; Sammlung von Bußgebeten für die Morgenstunden des Monats Elul; none
PPN860508668; 1800; Die Bedeutung des im masoretischen Teile angenommenen Punctationssystems für die Kenntnis der althebräischen Sprache : erster Teil / Ethjorn Frisendahl; none
PPN860517543; 1300; Sammelhandschrift zu den Psalmen; none
PPN860775623; 1600; Kitāb adab as-sulūk; none
PPN860776557; 1313; Kitāb adab as-sulūk; none
PPN860777375; 1683; Kitāb adab as-sulūk; none
PPN860778258; 1000; Arabische Sammelhandschrift; none
PPN860851966; 1500; Ḥidushe Bava Metsiʿa / Mosheh ben Naḥman; none
PPN860859894; 1400; Perush ha-Ramban ʿal ha-Torah; none
PPN860866157; 1719; Psalmen; none
PPN860868532; 1800; Seelenfeier : Hazkarat neshamot; none
PPN860869148; 1400; Hebräische Sammelhandschrift zur Kabbala; none
PPN860869652; 1700; Jüdischer Sammelband zur Beschneidung; none
PPN861468430; 1577; Handbuch der Medizin; none
PPN861481135; 1200; Grammatische Schrift über die hebräischen Verben; none
PPN861484983; 1700; Sefer Yesod ʿolam; none
PPN86148908X; 1400; Midrash ha-Ḥefets; none
PPN86149377X; 1300; Sefer ha-Shenah ṿe-ha-yeḳitsah; none
PPN861505751; 1290; Anonymer Fiebertraktat : Fevres; none
PPN861505840; 1732; Dīwān; none
PPN861506715; 1700; Kitāb fī maʽrifat al-farūsīya wa-ʽalāmāt al-ḫaīl wa-madāwātihā; none
PPN861508777; 1400; Sefer Anṭidoṭario; none
PPN861511123; 1600; Christlich-jüdisches Streitgespräch; none
PPN861511956; 1771; Gesammelte Werke / von Immanuel und Jacob ben David Frances; none
PPN861562763; 1400; Noten zu Averroes' mittlerem Kommentar über Tract. 11 ff. der Tiergeschichte; none
PPN861569210; 1500; Tosafot über den talmudischen Traktat Bava Metsiʿa; none
PPN861571053; 1400; Medizinische Sammelhandschrift; none
PPN861573358; 1483; Pisḳe ha-Riʾaz ʿal Masekhet Ḥulin; none
PPN861575393; 1200; Kommentare zu Tora, Psalmen und Propheten; none
PPN861575830; 1400; Tirat kesef; none
PPN861577205; 1300; Maʾamar be-nefesh; none
PPN861578694; 1500; Hebräische Sammelhandschrift zur Kabbala; none
PPN861617959; 1584; Religionsphilosophisches Werk; none
PPN861619072; 1500; Paraphrase der Pirḳe Avot; none
PPN861625250; 1500; Shirim u-melitsot u-khtavim / Shelomo bar Meshulam da-Piera; none
PPN861636414; 17XX; Midrash ha-ḥokhmah; none
PPN861637178; 1700; Midrash ha-ḥokhmah; none
PPN861637682; 1700; Midrash ha-ḥokhmah; none
PPN861640624; 1500; Schriften zur Alchemie und Medizin; none
PPN861640926; 1900; Die Erzählung von der Königin von Saba; none
PPN861645065; 1300; Sefer mitsṿot ḳaṭan; none
PPN861647998; 1549; Sefer ha-ʿezer; Religionswissenschaftliches Werk in zwei Teilen; none
PPN861652878; 1497; Kommentar zur Mishnah : Seder Ṭeharot; none
PPN861654056; 1300; Kommentar zur Mishnah : Seder Ṭohorot; none
PPN86165479X; 1289; Kommentare zu Tora und Megillot; none
PPN861784863; 1799; Arabische Sammelhandschrift; none
PPN861787226; 1700; Arabische Sammelhandschrift; none
PPN861787900; 1619; Tārīḫ al-Ǧazīra; none
PPN86182038X; 1300; Chronicon; none
PPN861908341; 1600; Jemenitische Gedichtsammlung; none
PPN861912888; 1700; Jemenitische Gedichtsammlung; none
PPN861916972; 1458; Kommentar über die Sheʾiltot des R. Aḥa; none
PPN861919718; 1744; ʿEt ha-zamir; Hymnensammlung verschiedener Autoren; none
PPN861922565; 1300; Sefer ha-Mitsṿot; none
PPN861925491; 1400; Kommentar zur Mishnah : Seder Ḳodashim; none
PPN861927826; 1300; Auslegungen zu Pesaḥ und Levitikus; none
PPN861930614; 1500; Anthologie des Buches Zohar; none
PPN861931335; 1400; Arabische Schriften des Yaḥyā Ibn-Sulaimān aṭ-Ṭabīb; none
PPN862077486; 1700; Sefer Rosh amanah; none
PPN862080711; 1300; Sefer mitsṿot ḳaṭan; none
PPN862086434; 1500; Aphorismen; In arab. Übers. von Ḥunain sowie in anonymer hebr. Übers. mit dem Kommentar von Maimonides; none
PPN86209254X; 1600; Sammelhandschrift zur Liturgie der Karaim; none
PPN862107369; 1400; Kommentar zur Mishnah : Seder Neziḳin; none
PPN862107881; 1499; Kommentar zur Mishnah : Seder Ṭohorot; none
PPN86219010X; 1446; Ǧauhar ẕāt; none
PPN86219024X; 1300; Persische Sammelhandschrift; none
PPN86219069X; 1737; al-Bayān fī masālik al-imān; none
PPN862190894; 1737; ar-Risāla al-qudsīya; none
PPN862193133; 1682; al-Iqtiṣād fī 'l-iʽtiqād; none
PPN862193311; 1766; Taʽrīfāt al-funūn wa-tarāǧim al-muṣannifīn wa-manāqibahum; none
PPN862193494; 1688; al-Fatḥ al-Makkī al-fāʾiḍ šarḥ Yāʾīya Ibn-al-Fāriḍ; none
PPN862193753; 1785; Kitāb al-Hārunī fī manāfiʽ aṭ-ṭibb; none
PPN862194008; 1688; Ṭibb al-qulūb; none
PPN86219458X; 1543; Risālat al-Iḫwān min ahl al-fiqh wa ḥamlat al-Qurān; none
PPN862194903; 1742; al-Fatḥ al-wāfī bi-tauḍīḥ rāmizat al-ʽurūḍ wa-'l-qawāfī; none
PPN862195357; 1737; Šarḥ Šawāhid ar-Raḍī; none
PPN862195756; 1785; al-Īḍāḥ al-fāʾiḍ ʿalā mā baraza wa-ġamaḍa fī 'l-farāʾiḍ; none
PPN862196035; 1602; Naẓm muḫtaṣar taʾlīf Ibn-aṣ-Ṣalāḥ fī ʽilm al-ḥadīṯ; none
PPN862196396; 1751; al-Ǧawāhir al-bahīya fī-'l-farāʾiḍ wa-l-waṣīya; none
PPN862196973; 1583; Šarḥ al-Burda al-Būṣīrīya fī madḥ ḫaīr al-barīya; none
PPN862197791; 1473; Muḫtaṣar al-qawāʽid fī uṣūl al-fiqh; none
PPN862198097; 1881; Maṣābīḥ arbāb ar-riyāsa wa-mafātīḥ abwāb al-kiyāsa; none
PPN862198399; 1640; Kitāb az-ziyārāt; none
PPN862199174; 1685; Fīmā yuḏammu yuʽābu fī kulli ṭāʾifa min ʽulamāʾ al-Umma; none
PPN862199751; 1653; Šarḥ-i Risāla-i Qūščī dar haiʾat; none
PPN862200326; 1692; Risāla dar aḥkām-i ṭāliʿ-i masāʾil wa-ḍamāʾir wa-ḫabāyā; none
PPN862200547; 1869; Tabṣirat an-nāẓirīn; none
PPN862200733; 1535; Iršād al-muslimīn; none
PPN862202078; 1623; Burhān al-kifāya; none
PPN862202698; 1840; Dīwān; none
PPN862203201; 1336; [Pandnāma]; none
PPN862203546; 1854; Kitāb az-ziyārāt; none
PPN862386128; 1412; Sefer mitsṿot ha-gadol; none
PPN862391741; 1500; Christlich-jüdisches Streitgespräch; none
PPN862394899; 1600; Medizinische Sammelhandschrift; none
PPN862396239; 1500; Jiddische Sammelhandschrift; none
PPN862404304; 1400; Medizinische Sammelhandschrift; none
PPN862410207; 1400; Kaṿanot ha-filosofim; none
PPN86241234X; 1223; Kommentar zur Mishnah : Seder Neziḳin; none
PPN862413036; 1300; Kommentar zur Mishnah : Seder Moʿed; none
PPN862413451; 1386; Kommentar zur Mishnah : Seder Ḳodashim; none
PPN862442001; 1850; Kirchliche Gesänge für verschiedene Zeiten und Gelegenheiten; none
PPN862558328; 1600; Armenisches Tetraevangeliar; none
PPN862560233; 1800; westarmenische Horoskope und Wahrsagereien; none
PPN862851378; 15XX; Midrash Daṿid; none
PPN862852692; 1500; Be-reshit; Ber-reshit, Noaḥ, Toldot; none
PPN862855780; 1500; Shemot; Shemot, Ṿa-era, Mishpaṭim, Terumah, Tetsaṿeh, Zakhor, Purim, Parah, Ki tisa, Ṿa-yaḳhel, Tetsaṿeh; none
PPN862856906; 1500; Be-midbar 1; Naso, Be-haʿalotkha, Shelaḥ, Ḳoraḥ, Ḥuḳat, Balaḳ, Pinḥas; none
PPN862858496; 1500; Be-midbar 2; Ḳoraḥ, Ḥuḳat, Balaḳ, Pinḥas, Maṭot, Masʿei; none
PPN862859352; 1500; Shavuʿot; Yom 1 shel ḥag Shavuʿot, Yom 2 shel ḥag Shavuʿot; none
PPN862865085; 1200; Kommentar zum Machsor; Fragment; none
PPN862866421; 1500; Midrash ha-gadol; Fragment zu Numeri 21,19-27; none
PPN862868475; 1500; Derashot; Auslegungen zu Genesis und Exodus; none
PPN862869269; 1700; Kabbalistische Abhandlung über die 10 Sefirot; Fragment; none
PPN862870917; 1400; Maḥzor; Fragmente zu den ersten Tagen von Pesaḥ; none
PPN862871123; 1500; Tārīḫ-i ʿālam; none
PPN86287145X; 1800; Hebräische Sammelhandschrift; Gedichte; none
PPN862903114; 1300; Torah, Haftarot und Megilot; mit Targum Onkelos und Rashi-Kommentaren; none
PPN862950937; 1400; Sammlung von Gedichten, Gebeten, Sentenzen; none
PPN862951585; 1800; Legende vom weisen Aḥiḳar oder Ḥiḳar; none
PPN862954495; 1883; Sammlung von Gedichten, Hochzeitsliedern und Geschichten; none
PPN863032532; 1710; Tanqīḥ tawārīḫ mulūk; none
PPN863032869; 1700; [Aufsatzsammlung zur Geschichte des Osmanischen Reiches um das Jahr 1722]; none
PPN863033105; 1759; al-Farraǧ baʿd aš-šidda; none
PPN86304445X; 1700; Arabische Sammelhandschrift; none
PPN863053408; 1602; Armenische Sammelhandschrift; none
PPN863054374; 1783; Armenische Medizinhandschrift; none
PPN863054870; 1660; Armenische theologische Sammelhandschrift; none
PPN863122787; 1772; Girk' Ogowt bžškowt'ean : or asi tačkabar Kifaye T'itip / Amirdowlat' Amasiaci'i; none
PPN863125115; 1600; Armenische Sammelhandschrift; none
PPN863127819; 1800; Javanische Sammelhandschrift; none
PPN863130755; 1698; Qābūs-nāma; none
PPN863141390; 1700; Grammatik unserer armenischen Sprache; none
PPN863141803; 1800; Geschichte unseres hl. und wundertätigen Vaters Johannes Chrysostomos, welcher Erzbischof von Stambul und Lehrer aller Länder war in Armenisch-Türkisch; none
PPN863166423; 1733; [Sulaimān-nāme]; none
PPN863180108; 1400; Zaubergebete, Teil des Weddase Maryam (Lobpreis Marias); none
PPN863180523; 1800; Äthiopische Zauberrolle; none
PPN863181112; 1500; Leben und Wunder des heiligen Gabra Manfas Qeddus; none
PPN863181716; 1687; Armenische theologische Sammelhandschrift; none
PPN863184014; 1703; Armenische Sammelhandschrift; none
PPN863185975; 1493; Waḥdat-nāme; none
PPN863204236; 1437; Ġarīb-name; none
PPN863334466; 1600; Osmanisch-Türkische Sammelhandschrift; none
PPN863347584; 1555; Ḫusrev u Šīrīn; none
PPN863451500; 1700; Gulšan-i ʿašq; none
PPN863455417; 1600; Lexicon Persico-Latinum; none
PPN863460925; 1800; Osmanisch-Türkische Sammelhandschrift; none
PPN863472184; 1500; Qānūn-nāme; none
PPN863556493; 1600; Arabische Sammelhandschrift; none
PPN863963080; 1680; Iṣlāḥ al-manṭiq; none
PPN863971334; 1700; Persisch-Osmanische Sammelhandschrift; none
PPN863972144; 1902; Risāla dar baiʿ u-muʿāmalāt; none
PPN863972764; 1824; Qaṣīda-i Nūšāfarīn Gauhartāǧ; none
PPN863973132; 1878; Tafsīr-i Yaʿqūb-i Čarḫī; none
PPN863974198; 1806; Qandīya; none
PPN86397435X; 1723; Silsilat aḏ-ḏahab; none
PPN863974430; 1792; Manāqib-i Ġauṯīya; none
PPN863980635; 1565; Teẕkiret eš-šuʽarā; none
PPN863984258; 1752; Meḥāsin el-merām fī aḫbār beled el-ḥarām; none
PPN863986218; 1560; Teẕkiret eš-šuʽarā; none
PPN864001525; 1900; Osmanisch-Türkische Sammelhandschrift; none
PPN864008805; 1700; Qiṣaṣ al-anbiyāʾ; none
PPN864010990; 0700; Kontrakte : Kloster Ata Phobamon, Djebe, Theben; none
PPN864358504; 1881; Manuscripta orientalia Berolinensia : Benutzung in Berlin 1881-1927; none
PPN864386729; 1858; al-Futūḥāt al-alwahīya Šarḥ al-Arbaʽīn an-Nawawīya; none
PPN864386915; 1588; aš-Šarḥ al-kabīr li-Ibn-Qāsim al-ʽIbādī ʽalā šarḥ al-Ǧalāl al-Maḥallī ʽalā 'l-matn aš-Šahīr bi-'l-waraqāt li-Imām al-Ḥaramaīn fī ʽilm Uṣūl al-fiqh; none
PPN864387091; 1331; al-Muḫtār bi-anwār Rabīʿ al-abrār; none
PPN864387210; 1785; Maulid al-Imām al-Wāqidī sammāhu Maulid al-Ǧauzī Abī-'l-ʽArūs; none
PPN864387547; 1737; az-Zahr al-fāʾiḥ fī man tanazzuh ʿan aḏ-ḏunūb wa-l-qabāʾiḥ; none
PPN864387989; 1785; Maulid al-Wāqidī; none
PPN864388217; 1488; Ḥawāšī ʽalā Šarḥ al-Mawāqif; none
PPN864388497; 1721; Anwār ad-durar fī īḍāḥ al-ḥaǧar; none
PPN864388748; 1688; al-Fahrī ʿalā Lumaʿ min al-adilla fī qawāʾid ʿaqāʾid ahl as-sunna; none
PPN864388861; 1737; Ḥāšīyat ʽAbd-al-Ġafūr ʽalā Fawāʾid aḍ-ḍiyāʾīya; none
PPN864389167; 1785; Šarḥ Muqaddimat al-bayān; none
PPN864458134; 1688; ʽUqlat al-ʽulamāʾ; none
PPN864458339; 1732; Arǧūza fī aḥkām al-ḥaḍāna; none
PPN864458576; 1737; [Astronomisches Werk]; none
PPN864458789; 1756; Našr aṭ-ṭawāliʽ; none
PPN864458967; 1785; an-Nāmūs al-aʽẓam wa-l-qāmūs al-aqdam; none
PPN86445936X; 1737; Išārāt al-marām min ʽibārāt al-imām; none
PPN864459610; 1591; Musnad at-Tatāʾī; none
PPN864459920; 1494; Šarḥ al-wasīṭ; none
PPN864736894; 1700; Šams al-muġrib fī 'l-murqiṣ al-muṭrib; none
PPN864737890; 1494; Safīnat an-naǧāh wa-š-šifā li-man irtaǧāh; none
PPN864738056; 1829; Asāmī ar-ruwāh; none
PPN864738269; 1844; Minhāǧ al-hidāya li-ahl al-bidāya; none
PPN864738536; 1397; Kitāb al-arbaʽīn; none
PPN864738641; 1494; Īḍāḥ al-ġāmiḍ al-kāšif li-maʽānī Miftāḥ al-fāʾid fī ʽilm al-farāʾiḍ; none
PPN864739478; 1706; at-Taḥqīqāt al-qudisīya wa-an-nafaḥāt ar-raḥmānīya al-ḥusnīya fī maḏhab as-sāda al-Ḥanafīya; none
PPN864739877; 1472; Risāla tataḍammanu ṯalāṯīna masāʾil; none
PPN864740484; 1580; Rawāḥ al-arwāḥ fī šarḥ Marāḥ al-arwāḥ; none
PPN86474594X; 1688; Šarḥ al-Fawāʾid al-ġiyāṯīya; none
PPN864746180; 1607; Ḥāšīyat šarḥ at-Taǧrīd al-ǧadīd; none
PPN864746458; 1785; al-Wāfīya fī šarḥ al-Kāfīya; none
PPN86474675X; 1688; al-Funūn allatī yaḥtāǧu ilai maʽrifatihā al-muḥaddiṯūn; none
PPN864747055; 1706; at-Taḥqīqāt al-qudisīya wa-n-nafaḥāt ar-raḥmānīya al-ḥusnīya fī maḏhab as-sāda al-Ḥanafīya; none
PPN864763131; 1836; Zahrat al-iḫwān fī bayān ištiqāq al-ibniyāt; none
PPN864763417; 1494; Briefe; none
PPN864763646; 1700; Faiḍ al-karam ʿalā ʿabīd al-qaum fī naẓm al-ḥikam; none
PPN864764006; 1494; Risāla fī birr-al-wālidain; none
PPN864764367; 1320; Makārim al-aḫlāq; none
PPN864785038; 1688; Maqāṣid al-aṭibbāʾ; none
PPN86478516X; 1835; Fadāʾil Abī-Bakr wa-ʽUmar wa-ʽUṯmān wa-ʽAlī wa-faḍl Fātima wa-Fiḍḍa, muntaḫaba min Iḫtiyār al-abrār; none
PPN864785259; 1737; [Astronomische Tabellen]; none
PPN864786492; 1203; ʽIlal al-ʽubūdīya fī 'l-aḥkām; none
PPN864797893; 1688; at-Tuḥaf al-Makkīya wa-l-aḫbār an-Nabawīya al-Madanīya; none
PPN864797915; 1397; Tarǧamat al-aʾima al-arbaʽa; none
PPN864798008; 1591; Kitāb al-aġānī; none
PPN864798121; 1815; Nuḫbat al-badīʿ fī madḥ aš-šafīʿ; none
PPN86479892X; 1623; Ḥāšīya ʿalā šarḥ al-ʿaqāʾid li-š-šaiḫ Saʿd-ad-Dīn at-Taftāzānī; none
PPN864799179; 1494; Šarḥ Qawāʽid; none
PPN864799330; 1773; Asbāb nuzūl al-Qurʾān bi-l-ayāt al-Qurʾānīya wa-'l-qiṣaṣ al-Furqānīya; none
PPN864799772; 1794; al-Ǧauhar aṯ-ṯamīn; none
PPN864800010; 1688; Šarḥ ʽalā Nuḫbat al-fikr fī muṣṭalaḥ ahl-al-aṯar; none
PPN864800150; 1785; Niẓām az-zabarǧad fī 'l-arbaʽīn al-musalsala bi-Aḥmad; none
PPN864800282; 1737; Šarḥ al-Arbaʽīn li-l-imām aš-Šabrāḫītī; none
PPN864800428; 1853; Ḫaṣāʾiṣ al-ʿašara al-kirām al-barara; none
PPN865453594; 1630; Jemenitisches Gebetsbuch; none
PPN866425608; 1520; Anwār al-ʿāšiqīn; none
PPN866425675; 1700; Tanzīh al-Muṣtafā al-muḫtār ʿammā lam yuṯbit min al-āṯār; none
PPN866425683; 1694; Risāle-i Sī faṣl [dar maʿrifat-i taqwīm]; none
PPN86647854X; 1803; Anīs al-aḥibbāʾ; none
PPN866478590; 1826; Persische Sammelhandschrift; none
PPN866749403; 1803; Tārīḫ-i ʿālamārā-i ʿAbbāsī; none
PPN866762957; 1797; [Autobiographie]; none
PPN866823816; 1809; Ḥadīqat al-aqālīm; none
PPN866824642; 1784; Kalimāt aš-šuʿarāʾ; none
PPN866828974; 1808; Ātaškada; none
PPN866829334; 1789; Siyar al-mutaʾaḫḫirīn; none
PPN866830146; 1743; Safīna-i Ḫušgū; none
PPN866840001; 1795; Persische Sammelhandschrift; none
PPN866893512; 1829; Rauḍat aṣ-ṣafāʾ fī sīrat al-anbiyāʾ wa-l-mulūk wa-l-ḫulafāʾ; none
PPN866893776; 1829; Rauḍat aṣ-ṣafāʾ fī sīrat al-anbiyāʾ wa-l-mulūk wa-l-ḫulafāʾ; none
PPN866894217; 1829; Rauḍat aṣ-ṣafāʾ fī sīrat al-anbiyāʾ wa-l-mulūk wa-l-ḫulafāʾ; none
PPN866898093; 1167; al-Qānūn al-Masʿūdī; none
PPN867948078; 1705; Beschreibung von Mekka (Kaaba) und Medina und deren Geschichte; none
PPN867951974; 1600; Terǧeme-i Širʽat el-islām; none
PPN867959606; 1753; Terǧeme-i aqrābādīn; none
PPN867963514; 1694; Terǧeme-i Kašf wa 'l-bayān fīmā yataʽallaq bi-'n-nisyān; none
PPN867966068; 1885; Burhān el-muʽǧizāt; none
PPN867999411; 1300; Matthäus-Evangelium <Fragment>; none
PPN867999683; 1600; Behira-Legende [Fragment]; none
PPN868000019; 1562; Glaubenslehre; none
PPN86800037X; 1700; Psalmen <nach Pschitta>, Gesänge; none
PPN868001082; 1700; Eine Sammlung von Gedichten, Erzählungen und Notizen verschiedenster Art; none
PPN868008621; 1522; Kitāb-i Ḫoǧa-i ǧihān [ve Netīǧe-i ǧān]; none
PPN868010391; 1876; Kitāb Behǧet el-ʽirfān fī aḥvāl el-ebdān; none
PPN868015938; 1858; Qĭrīm muḥārebesi ta'rīḫi; none
PPN868029769; 1490; al-Qaṣīda at-tāʾīya; none
PPN868031089; 1584; Risāla dar haiʾat; none
PPN868032956; 1811; Persische Sammelhandschrift; none
PPN86830901X; 1860; Terǧeme-i ʽAvārif el-maʽārif; none
PPN868320773; 1770; Feraḥ-nāme; none
PPN868327166; 1800; Osmanisch-Türkische Sammelhandschrift; none
PPN868615986; 1606; Munšaʾāt; none
PPN86861601X; 1734; Mirʾāt al-ḫayāl; none
PPN868652326; 1802; Glaubensgespräche über die Lehre und die Praxis des jakobitischen Christentum; none
PPN868653462; 1808; Karschuni-Kalender der Jakobiten im Ṭūr-ʿAbdīn, genannt Taqlab; none
PPN868653985; 1787; Kommentar zu den Psalmen von Daniel aus Ṣalaḥ in arabischer Übersetzung; none
PPN868662801; 1600; [Terǧeme-i Inǧīl]; none
